# generated_at: 2025-09-25T22:59:31-03:00
# user: angel
# host: AngelLMint

command	nproc	cpu_avg	cpu_max	mem_avg	mem_max
okular-bin	12	0.4	0.4	1.1	1.1
mintreport-tray	12	0.7	0.7	0.2	0.2
cinnamon	12	6.6	6.6	1.6	1.6
pipewire-pulse	12	2.2	2.2	0.8	0.8
firefox-bin	12	11.9	11.9	4.0	4.0
Isolated Web Co	120	0.7	1.8	1.4	2.9
gnome-terminal-	12	1.2	1.2	0.4	0.4
Discord	36	11.1	32.3	1.9	3.4
caribou	12	1.2	1.2	2.8	2.8
code	72	4.1	13.2	1.7	3.8
pipewire	12	1.7	1.7	0.3	0.3
